Non-overlapping 14-day period,Region,Number_received_three_vaccines,Population
01/06/2022 -> 30/06/2022,North West,719175,880625
01/06/2022 -> 30/06/2022,North West,668615,750990
01/06/2022 -> 30/06/2022,North West,557105,591295
01/06/2022 -> 30/06/2022,North West,314490,330820
01/06/2022 -> 30/06/2022,South East,551670,1008475
01/06/2022 -> 30/06/2022,South East,534170,840160
01/06/2022 -> 30/06/2022,South East,747320,967025
01/06/2022 -> 30/06/2022,South East,983600,1129845
01/06/2022 -> 30/06/2022,South East,855670,932445
01/06/2022 -> 30/06/2022,South East,738185,772960
01/06/2022 -> 30/06/2022,South East,450805,467940
01/06/2022 -> 30/06/2022,South West,357035,639250
01/06/2022 -> 30/06/2022,South West,331005,510150
01/06/2022 -> 30/06/2022,South West,423500,542200
01/06/2022 -> 30/06/2022,South West,606375,692950
01/06/2022 -> 30/06/2022,South West,577005,625695
01/06/2022 -> 30/06/2022,South West,524450,547715
01/06/2022 -> 30/06/2022,South West,314215,324920
01/07/2022 -> 31/07/2022,East Midlands,2517875,3260790
01/07/2022 -> 31/07/2022,East of England,3248240,4171215
01/07/2022 -> 31/07/2022,London,3090990,4811160
01/07/2022 -> 31/07/2022,North East,1411180,1844655
01/07/2022 -> 31/07/2022,North West,3513445,4853825
01/07/2022 -> 31/07/2022,South East,4873840,6119830
01/07/2022 -> 31/07/2022,South West,3140050,3882670
01/07/2022 -> 31/07/2022,East Midlands,197780,313785
01/07/2022 -> 31/07/2022,East of England,295800,453505
01/07/2022 -> 31/07/2022,London,1049430,1778530
01/07/2022 -> 31/07/2022,North East,52925,81785
01/07/2022 -> 31/07/2022,North West,224490,380250
01/07/2022 -> 31/07/2022,South East,516920,735660
01/07/2022 -> 31/07/2022,South West,194355,277750
01/07/2022 -> 31/07/2022,East Midlands,2320080,2947015
01/07/2022 -> 31/07/2022,East of England,2952435,3717705
01/07/2022 -> 31/07/2022,London,2041550,3032625
01/07/2022 -> 31/07/2022,North East,1358255,1762870
01/07/2022 -> 31/07/2022,North West,3288960,4473565
01/07/2022 -> 31/07/2022,South East,4356925,5384175
01/07/2022 -> 31/07/2022,South West,2945680,3604935
01/07/2022 -> 31/07/2022,East Midlands,242275,282580
01/07/2022 -> 31/07/2022,East of England,282035,328910
01/07/2022 -> 31/07/2022,London,245610,338695
01/07/2022 -> 31/07/2022,North East,150265,175255
01/07/2022 -> 31/07/2022,North West,344910,424275
01/07/2022 -> 31/07/2022,South East,391380,453305
01/07/2022 -> 31/07/2022,South West,286995,328755
01/07/2022 -> 31/07/2022,East Midlands,143030,172165
01/07/2022 -> 31/07/2022,East of England,148275,179500
01/07/2022 -> 31/07/2022,London,163930,237200
01/07/2022 -> 31/07/2022,North East,110950,132630
01/07/2022 -> 31/07/2022,North West,252945,320845
01/07/2022 -> 31/07/2022,South East,195690,236660
01/07/2022 -> 31/07/2022,South West,151800,180820
01/07/2022 -> 31/07/2022,East Midlands,2132560,2806055
01/07/2022 -> 31/07/2022,East of England,2817920,3662800
01/07/2022 -> 31/07/2022,London,2681445,4235295
01/07/2022 -> 31/07/2022,North East,1149955,1536755
01/07/2022 -> 31/07/2022,North West,2915585,4108700
01/07/2022 -> 31/07/2022,South East,4286765,5429880
01/07/2022 -> 31/07/2022,South West,2701240,3373085
01/07/2022 -> 31/07/2022,East Midlands,95365,109695
01/07/2022 -> 31/07/2022,East of England,111760,128940
01/07/2022 -> 31/07/2022,London,46085,62195
01/07/2022 -> 31/07/2022,North East,61225,71780
01/07/2022 -> 31/07/2022,North West,128540,155270
01/07/2022 -> 31/07/2022,South East,159105,181955
01/07/2022 -> 31/07/2022,South West,120250,136415
01/07/2022 -> 31/07/2022,East Midlands,317965,403115
01/07/2022 -> 31/07/2022,East of England,429335,540885
01/07/2022 -> 31/07/2022,London,276320,427310
01/07/2022 -> 31/07/2022,North East,176110,228305
01/07/2022 -> 31/07/2022,North West,425305,580590
01/07/2022 -> 31/07/2022,South East,584730,723035
01/07/2022 -> 31/07/2022,South West,383465,468060
01/07/2022 -> 31/07/2022,East Midlands,342370,427730
01/07/2022 -> 31/07/2022,East of England,454320,564355
01/07/2022 -> 31/07/2022,London,285960,440950
01/07/2022 -> 31/07/2022,North East,197400,250870
01/07/2022 -> 31/07/2022,North West,476370,639545
01/07/2022 -> 31/07/2022,South East,649065,789005
01/07/2022 -> 31/07/2022,South West,438825,527460
01/07/2022 -> 31/07/2022,East Midlands,296160,365605
01/07/2022 -> 31/07/2022,East of England,370345,457610
01/07/2022 -> 31/07/2022,London,320090,478165
01/07/2022 -> 31/07/2022,North East,168485,211765
01/07/2022 -> 31/07/2022,North West,422615,559465
01/07/2022 -> 31/07/2022,South East,570950,691525
01/07/2022 -> 31/07/2022,South West,380685,456745
01/07/2022 -> 31/07/2022,East Midlands,633085,716245
01/07/2022 -> 31/07/2022,East of England,880480,1005490
01/07/2022 -> 31/07/2022,London,1120205,1498675
01/07/2022 -> 31/07/2022,North East,335795,379305
01/07/2022 -> 31/07/2022,North West,941835,1098765
01/07/2022 -> 31/07/2022,South East,1528635,1726230
01/07/2022 -> 31/07/2022,South West,908165,1009010
01/07/2022 -> 31/07/2022,East Midlands,445675,537565
01/07/2022 -> 31/07/2022,East of England,521070,619770
01/07/2022 -> 31/07/2022,London,418050,601415
01/07/2022 -> 31/07/2022,North East,271655,329705
01/07/2022 -> 31/07/2022,North West,619205,796430
01/07/2022 -> 31/07/2022,South East,638485,753945
01/07/2022 -> 31/07/2022,South West,444030,513905
01/07/2022 -> 31/07/2022,East Midlands,100915,137945
01/07/2022 -> 31/07/2022,East of England,128155,175695
01/07/2022 -> 31/07/2022,London,223270,372370
01/07/2022 -> 31/07/2022,North East,47795,59575
01/07/2022 -> 31/07/2022,North West,123990,173190
01/07/2022 -> 31/07/2022,South East,185060,245360
01/07/2022 -> 31/07/2022,South West,104105,132180
01/07/2022 -> 31/07/2022,East Midlands,4675,9175
01/07/2022 -> 31/07/2022,East of England,12010,23575
01/07/2022 -> 31/07/2022,London,69535,148785
01/07/2022 -> 31/07/2022,North East,3615,7315
01/07/2022 -> 31/07/2022,North West,12115,28260
01/07/2022 -> 31/07/2022,South East,11710,19035
01/07/2022 -> 31/07/2022,South West,3550,5505
01/07/2022 -> 31/07/2022,East Midlands,11865,28850
01/07/2022 -> 31/07/2022,East of England,22965,46975
01/07/2022 -> 31/07/2022,London,122200,321620
01/07/2022 -> 31/07/2022,North East,2690,5800
01/07/2022 -> 31/07/2022,North West,15020,36425
01/07/2022 -> 31/07/2022,South East,29450,58935
01/07/2022 -> 31/07/2022,South West,6955,14355
01/07/2022 -> 31/07/2022,East Midlands,10270,21100
01/07/2022 -> 31/07/2022,East of England,12895,26110
01/07/2022 -> 31/07/2022,London,78410,217375
01/07/2022 -> 31/07/2022,North East,520,820
01/07/2022 -> 31/07/2022,North West,7030,14925
01/07/2022 -> 31/07/2022,South East,14165,26125
01/07/2022 -> 31/07/2022,South West,5720,10560
01/07/2022 -> 31/07/2022,East Midlands,7785,11115
01/07/2022 -> 31/07/2022,East of England,14975,19510
01/07/2022 -> 31/07/2022,London,51315,69955
01/07/2022 -> 31/07/2022,North East,4490,6425
01/07/2022 -> 31/07/2022,North West,18360,24025
01/07/2022 -> 31/07/2022,South East,23660,30255
01/07/2022 -> 31/07/2022,South West,8685,11080
01/07/2022 -> 31/07/2022,East Midlands,93225,127315
01/07/2022 -> 31/07/2022,East of England,55255,68865
01/07/2022 -> 31/07/2022,London,275535,365405
01/07/2022 -> 31/07/2022,North East,7575,10125
01/07/2022 -> 31/07/2022,North West,45490,74585
01/07/2022 -> 31/07/2022,South East,93965,117910
01/07/2022 -> 31/07/2022,South West,18260,23440
01/07/2022 -> 31/07/2022,East Midlands,22635,46575
01/07/2022 -> 31/07/2022,East of England,35860,65435
01/07/2022 -> 31/07/2022,London,93905,197545
01/07/2022 -> 31/07/2022,North East,7945,13290
01/07/2022 -> 31/07/2022,North West,30880,64275
01/07/2022 -> 31/07/2022,South East,57975,96640
01/07/2022 -> 31/07/2022,South West,26085,43820
01/07/2022 -> 31/07/2022,East Midlands,24880,43405
01/07/2022 -> 31/07/2022,East of England,43140,65655
01/07/2022 -> 31/07/2022,London,243990,445710
01/07/2022 -> 31/07/2022,North East,8365,13445
01/07/2022 -> 31/07/2022,North West,30060,56325
01/07/2022 -> 31/07/2022,South East,83780,119400
01/07/2022 -> 31/07/2022,South West,22560,32890
01/07/2022 -> 31/07/2022,East Midlands,14325,33950
01/07/2022 -> 31/07/2022,East of England,19960,47390
01/07/2022 -> 31/07/2022,London,69195,144915
01/07/2022 -> 31/07/2022,North East,6535,13605
01/07/2022 -> 31/07/2022,North West,49495,130485
01/07/2022 -> 31/07/2022,South East,32960,68450
01/07/2022 -> 31/07/2022,South West,4360,7915
01/07/2022 -> 31/07/2022,East Midlands,2269750,2825620
01/07/2022 -> 31/07/2022,East of England,2903650,3590970
01/07/2022 -> 31/07/2022,London,1732855,2256970
01/07/2022 -> 31/07/2022,North East,1353255,1746130
01/07/2022 -> 31/07/2022,North West,3226360,4290530
01/07/2022 -> 31/07/2022,South East,4326965,5270165
01/07/2022 -> 31/07/2022,South West,2965005,3605215
01/07/2022 -> 31/07/2022,East Midlands,58450,113675
01/07/2022 -> 31/07/2022,East of England,127525,216700
01/07/2022 -> 31/07/2022,London,354085,642895
01/07/2022 -> 31/07/2022,North East,16155,27720
01/07/2022 -> 31/07/2022,North West,78650,133995
01/07/2022 -> 31/07/2022,South East,199220,312935
01/07/2022 -> 31/07/2022,South West,78890,127880
01/07/2022 -> 31/07/2022,East Midlands,360160,566090
01/07/2022 -> 31/07/2022,East of England,509860,759015
01/07/2022 -> 31/07/2022,London,474175,927505
01/07/2022 -> 31/07/2022,North East,208260,323130
01/07/2022 -> 31/07/2022,North West,492130,869500
01/07/2022 -> 31/07/2022,South East,775615,1120715
01/07/2022 -> 31/07/2022,South West,507625,711025
01/07/2022 -> 31/07/2022,East Midlands,451915,619195
01/07/2022 -> 31/07/2022,East of England,618515,820075
01/07/2022 -> 31/07/2022,London,551600,969890
01/07/2022 -> 31/07/2022,North East,251105,351970
01/07/2022 -> 31/07/2022,North West,594525,921065
01/07/2022 -> 31/07/2022,South East,925330,1201445
01/07/2022 -> 31/07/2022,South West,623800,786455
01/07/2022 -> 31/07/2022,East Midlands,539825,685165
01/07/2022 -> 31/07/2022,East of England,685265,859790
01/07/2022 -> 31/07/2022,London,614675,964115
01/07/2022 -> 31/07/2022,North East,287435,376250
01/07/2022 -> 31/07/2022,North West,719005,980105
01/07/2022 -> 31/07/2022,South East,1036120,1279195
01/07/2022 -> 31/07/2022,South West,663485,805995
01/07/2022 -> 31/07/2022,East Midlands,568010,687050
01/07/2022 -> 31/07/2022,East of England,708500,869930
01/07/2022 -> 31/07/2022,London,675800,960920
01/07/2022 -> 31/07/2022,North East,319525,390460
01/07/2022 -> 31/07/2022,North West,821475,1028845
01/07/2022 -> 31/07/2022,South East,1059670,1268855
01/07/2022 -> 31/07/2022,South West,670395,799590
01/07/2022 -> 31/07/2022,East Midlands,597960,703280
01/07/2022 -> 31/07/2022,East of England,726095,862400
01/07/2022 -> 31/07/2022,London,774750,988715
01/07/2022 -> 31/07/2022,North East,344855,402855
01/07/2022 -> 31/07/2022,North West,886305,1054325
01/07/2022 -> 31/07/2022,South East,1077090,1249635
01/07/2022 -> 31/07/2022,South West,674765,779600
01/07/2022 -> 31/07/2022,East Midlands,2418355,3077815
01/07/2022 -> 31/07/2022,East of England,3128820,3951145
01/07/2022 -> 31/07/2022,London,2543275,3797905
01/07/2022 -> 31/07/2022,North East,1388240,1802860
01/07/2022 -> 31/07/2022,North West,3403585,4631330
01/07/2022 -> 31/07/2022,South East,4676795,5794340
01/07/2022 -> 31/07/2022,South West,3076515,3770355
01/07/2022 -> 31/07/2022,East Midlands,99525,182970
01/07/2022 -> 31/07/2022,East of England,119420,220085
01/07/2022 -> 31/07/2022,London,547710,1013265
01/07/2022 -> 31/07/2022,North East,22925,41795
01/07/2022 -> 31/07/2022,North West,109865,222490
01/07/2022 -> 31/07/2022,South East,197040,325485
01/07/2022 -> 31/07/2022,South West,63525,112295
01/07/2022 -> 31/07/2022,East Midlands,364460,424335
01/07/2022 -> 31/07/2022,East of England,542520,632975
01/07/2022 -> 31/07/2022,London,584615,759795
01/07/2022 -> 31/07/2022,North East,168715,196445
01/07/2022 -> 31/07/2022,North West,507725,608540
01/07/2022 -> 31/07/2022,South East,933445,1077905
01/07/2022 -> 31/07/2022,South West,506535,578825
01/07/2022 -> 31/07/2022,East Midlands,601275,727510
01/07/2022 -> 31/07/2022,East of England,834095,1012195
01/07/2022 -> 31/07/2022,London,829300,1166795
01/07/2022 -> 31/07/2022,North East,323730,392425
01/07/2022 -> 31/07/2022,North West,847670,1076315
01/07/2022 -> 31/07/2022,South East,1351045,1615010
01/07/2022 -> 31/07/2022,South West,806315,954225
01/07/2022 -> 31/07/2022,East Midlands,255980,321265
01/07/2022 -> 31/07/2022,East of England,352035,439585
01/07/2022 -> 31/07/2022,London,334465,509355
01/07/2022 -> 31/07/2022,North East,162970,204760
01/07/2022 -> 31/07/2022,North West,400020,534430
01/07/2022 -> 31/07/2022,South East,525360,645035
01/07/2022 -> 31/07/2022,South West,321060,386215
01/07/2022 -> 31/07/2022,East Midlands,310470,409800
01/07/2022 -> 31/07/2022,East of England,452380,604595
01/07/2022 -> 31/07/2022,London,380310,629165
01/07/2022 -> 31/07/2022,North East,135595,182395
01/07/2022 -> 31/07/2022,North West,414535,596060
01/07/2022 -> 31/07/2022,South East,653990,856090
01/07/2022 -> 31/07/2022,South West,464225,583650
01/07/2022 -> 31/07/2022,East Midlands,249745,323525
01/07/2022 -> 31/07/2022,East of England,277850,362095
01/07/2022 -> 31/07/2022,London,190495,306810
01/07/2022 -> 31/07/2022,North East,149220,192460
01/07/2022 -> 31/07/2022,North West,327940,449490
01/07/2022 -> 31/07/2022,South East,377320,485720
01/07/2022 -> 31/07/2022,South West,271100,341425
01/07/2022 -> 31/07/2022,East Midlands,317375,438890
01/07/2022 -> 31/07/2022,East of England,358800,489835
01/07/2022 -> 31/07/2022,London,296195,514880
01/07/2022 -> 31/07/2022,North East,201440,279250
01/07/2022 -> 31/07/2022,North West,451935,672080
01/07/2022 -> 31/07/2022,South East,478140,641495
01/07/2022 -> 31/07/2022,South West,358075,469580
01/07/2022 -> 31/07/2022,East Midlands,331485,458600
01/07/2022 -> 31/07/2022,East of England,322815,446065
01/07/2022 -> 31/07/2022,London,233865,410145
01/07/2022 -> 31/07/2022,North East,209440,283655
01/07/2022 -> 31/07/2022,North West,420050,624225
01/07/2022 -> 31/07/2022,South East,395135,539985
01/07/2022 -> 31/07/2022,South West,310445,409630
01/07/2022 -> 31/07/2022,East Midlands,47580,93495
01/07/2022 -> 31/07/2022,East of England,53395,101420
01/07/2022 -> 31/07/2022,London,113840,292945
01/07/2022 -> 31/07/2022,North East,40800,80695
01/07/2022 -> 31/07/2022,North West,84385,189920
01/07/2022 -> 31/07/2022,South East,69530,126540
01/07/2022 -> 31/07/2022,South West,43455,76200
01/07/2022 -> 31/07/2022,East Midlands,39505,63350
01/07/2022 -> 31/07/2022,East of England,54320,82435
01/07/2022 -> 31/07/2022,London,127915,221285
01/07/2022 -> 31/07/2022,North East,19245,32550
01/07/2022 -> 31/07/2022,North West,59200,102780
01/07/2022 -> 31/07/2022,South East,89870,132045
01/07/2022 -> 31/07/2022,South West,58830,82935
01/07/2022 -> 31/07/2022,East Midlands,6320,8530
01/07/2022 -> 31/07/2022,East of England,11805,15695
01/07/2022 -> 31/07/2022,London,32865,46850
01/07/2022 -> 31/07/2022,North East,2825,3915
01/07/2022 -> 31/07/2022,North West,9880,13665
01/07/2022 -> 31/07/2022,South East,23540,30605
01/07/2022 -> 31/07/2022,South West,10875,14460
01/07/2022 -> 31/07/2022,East Midlands,1584060,1928420
01/07/2022 -> 31/07/2022,East of England,2028145,2478850
01/07/2022 -> 31/07/2022,London,1525560,2310515
01/07/2022 -> 31/07/2022,North East,1015635,1261650
01/07/2022 -> 31/07/2022,North West,2522940,3295835
01/07/2022 -> 31/07/2022,South East,3047645,3659800
01/07/2022 -> 31/07/2022,South West,1985970,2340180
01/07/2022 -> 31/07/2022,East Midlands,55850,67820
01/07/2022 -> 31/07/2022,East of England,36700,44730
01/07/2022 -> 31/07/2022,London,209995,270700
01/07/2022 -> 31/07/2022,North East,3555,4710
01/07/2022 -> 31/07/2022,North West,20470,25065
01/07/2022 -> 31/07/2022,South East,59235,72260
01/07/2022 -> 31/07/2022,South West,8995,11075
01/07/2022 -> 31/07/2022,East Midlands,2320,2775
01/07/2022 -> 31/07/2022,East of England,25145,28615
01/07/2022 -> 31/07/2022,London,66460,87325
01/07/2022 -> 31/07/2022,North East,1305,2805
01/07/2022 -> 31/07/2022,North West,13915,18950
01/07/2022 -> 31/07/2022,South East,10805,12585
01/07/2022 -> 31/07/2022,South West,4085,4850
01/07/2022 -> 31/07/2022,East Midlands,40780,93155
01/07/2022 -> 31/07/2022,East of England,49160,104155
01/07/2022 -> 31/07/2022,London,271745,628820
01/07/2022 -> 31/07/2022,North East,14020,28640
01/07/2022 -> 31/07/2022,North West,93255,234515
01/07/2022 -> 31/07/2022,South East,69610,134140
01/07/2022 -> 31/07/2022,South West,16560,31180
01/07/2022 -> 31/07/2022,East Midlands,645935,914170
01/07/2022 -> 31/07/2022,East of England,866960,1194915
01/07/2022 -> 31/07/2022,London,703060,1024115
01/07/2022 -> 31/07/2022,North East,294535,434790
01/07/2022 -> 31/07/2022,North West,655065,980340
01/07/2022 -> 31/07/2022,South East,1298245,1734220
01/07/2022 -> 31/07/2022,South West,878195,1176090
01/07/2022 -> 31/07/2022,East Midlands,9905,13720
01/07/2022 -> 31/07/2022,East of England,13825,19095
01/07/2022 -> 31/07/2022,London,21865,30880
01/07/2022 -> 31/07/2022,North East,3675,5130
01/07/2022 -> 31/07/2022,North West,9245,13960
01/07/2022 -> 31/07/2022,South East,20535,29295
01/07/2022 -> 31/07/2022,South West,15865,23295
01/07/2022 -> 31/07/2022,East Midlands,149365,199655
01/07/2022 -> 31/07/2022,East of England,205845,270540
01/07/2022 -> 31/07/2022,London,200970,326280
01/07/2022 -> 31/07/2022,North East,72645,98860
01/07/2022 -> 31/07/2022,North West,184790,265255
01/07/2022 -> 31/07/2022,South East,312375,403525
01/07/2022 -> 31/07/2022,South West,216290,277065
01/07/2022 -> 31/07/2022,East Midlands,23360,32525
01/07/2022 -> 31/07/2022,East of England,10670,14595
01/07/2022 -> 31/07/2022,London,58475,85660
01/07/2022 -> 31/07/2022,North East,2960,4175
01/07/2022 -> 31/07/2022,North West,3900,6225
01/07/2022 -> 31/07/2022,South East,31870,43390
01/07/2022 -> 31/07/2022,South West,3215,4440
01/07/2022 -> 31/07/2022,East Midlands,788880,942930
01/07/2022 -> 31/07/2022,East of England,1089650,1308175
01/07/2022 -> 31/07/2022,London,8520,11285
01/07/2022 -> 31/07/2022,North East,290320,359890
